Country,Area,Co2,CPI,GDP,Population,Latitude,Longitude,Life expectancy
Russia,17098240,1732027,180.75,1.70E+12,144373535,61.52,105.32,72.7
Canada,9984670,544894,116.76,1.74E+12,36991981,56.13,-106.35,81.9
United States,9833517,5006302,117.24,2.14E+13,328239523,37.09,-95.71,78.5
China,9596960,9893038,125.08,1.99E+13,1397715000,35.86,104.2,77
Brazil,8515770,462299,167.4,1.84E+12,212559417,-14.24,-51.93,75.7
Australia,7741220,375908,119.8,1.39E+12,25766605,-25.27,133.78,82.7
India,3287263,2407672,180.44,2.61E+12,1366417754,20.59,78.96,69.4
Argentina,2780400,201348,232.75,4.50E+11,44938712,-38.42,-63.62,76.5
Kazakhstan,2724900,247207,182.75,1.80E+11,18513930,48.02,66.92,73.2
Algeria,2381741,150006,151.36,1.70E+11,43053054,28.03,1.66,76.7
